n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E,event_class,event_id
2,1,1,415.9447441101074,362.06256103515625,207.9723720550537,8359.14033280138,53.88218307495117,362.06256103515625,0.1295416851347151,53.88218307495117,362.06256103515625,0,1,1,1,-8359.14033280138,2,7.800001602563939,7.800001602563937,1082.8571249886538,362.06256103515625,MISSED_PROTON,5737
3,1,2,1199.5875701904297,616.2330322265625,399.8625233968099,32404.300522914804,503.27337646484375,696.3141937255859,0.41953867226629493,503.27337646484375,616.2330322265625,1,0,1,1,9060.098538697204,3,44.42882747846392,35.64940984395425,6817.431441802131,503.27337646484375,MISSED_PROTON,13255
2,1,1,245.2134952545166,233.47665405273438,122.6067476272583,74.03792614512413,11.736841201782227,233.47665405273438,0.04786376536739996,11.736841201782227,233.47665405273438,0,1,1,1,-74.03792614512413,2,0.0,0.0,3.543733925299109,233.47665405273438,MISSED_PROTON,17414
2,1,1,292.75463104248047,225.70916748046875,146.37731552124023,39905.6430406431,225.70916748046875,67.04546356201172,0.7709841059618182,225.70916748046875,67.04546356201172,0,1,1,1,-39905.6430406431,2,16.23699976050071,16.236999760500705,30766.616522521672,67.04546356201172,MISSED_PROTON,15345
3,2,1,1748.2680282592773,1147.2896728515625,582.7560094197592,29194.560032765257,1167.9284896850586,580.3395385742188,0.6680488751189635,1147.2896728515625,580.3395385742188,0,1,1,1,-25837.305664266223,3,36.026659264741404,25.474695069595807,17300.216357607045,580.3395385742188,CLEAN,631
4,2,2,765.6164436340332,372.12591552734375,191.4041109085083,14514.028701724592,285.15214920043945,480.46429443359375,0.3724477857959161,235.31443786621094,372.12591552734375,0,1,1,1,-5916.807602930799,4,43.42854906050425,30.873284650517427,5675.575260848524,372.12591552734375,MISSED_PROTON,372
4,2,2,845.2950439453125,386.909912109375,211.32376098632812,47457.78007282241,297.94639587402344,547.3486480712891,0.35247621290123105,239.1778106689453,386.909912109375,1,0,1,1,8791.25876959992,4,40.592486557620795,31.44280501628115,4240.8596935064525,239.1778106689453,MISSED_PROTON,11922
3,1,2,1323.7598991394043,1173.868408203125,441.25329971313477,34243.70529057967,11.44784164428711,1312.3120574951172,0.008647974343179241,11.44784164428711,1173.868408203125,0,1,1,1,-34243.70529057967,3,31.344108620440934,22.466564588739416,4398.214352694907,138.4436492919922,CLEAN,13300
3,1,2,1155.5537338256836,646.1430053710938,385.18457794189453,7435.189119114433,88.44762420654297,1067.1061096191406,0.07654133392284584,88.44762420654297,646.1430053710938,0,1,1,1,-7435.189119114433,3,34.62330424710758,26.344381335980458,-1809.8207846794178,646.1430053710938,MISSED_PROTON,18969
3,1,2,1025.5907897949219,535.590576171875,341.8635965983073,6962.497394850066,255.38076782226562,770.2100219726562,0.24900844504788486,255.38076782226562,535.590576171875,0,0,0,1,-6926.318014493604,3,6.004432099707681,4.245774654877482,-3608.829473501522,535.590576171875,MISSED_PROTON,6596
2,1,1,529.6414203643799,504.5707702636719,264.82071018218994,14656.812444686351,25.070650100708008,504.5707702636719,0.04733513871226317,25.070650100708008,504.5707702636719,0,1,1,1,-14656.812444686351,2,0.0,0.0,693.7822501488534,504.5707702636719,CLEAN,13461
3,1,2,1404.6056823730469,710.3211669921875,468.20189412434894,26772.151503503217,710.3211669921875,694.2845153808594,0.5057085955911251,710.3211669921875,429.7318420410156,1,0,1,1,12546.578179258433,3,40.6133093948277,30.76362245683474,-3665.5743785900536,710.3211669921875,MISSED_PROTON,9371
2,1,1,386.3768768310547,364.0078125,193.18843841552734,21955.886687889117,22.369064331054688,364.0078125,0.0578944177884529,22.369064331054688,364.0078125,0,1,1,1,-21955.886687889117,2,0.0,0.0,1271.1232768245839,364.0078125,CLEAN,14539
3,1,2,578.2925834655762,476.8583984375,192.7641944885254,37543.050066594806,24.467334747314453,553.8252487182617,0.04230961185890933,24.467334747314453,476.8583984375,0,1,1,1,-37543.050066594806,3,6.0044,4.245751956956506,1588.4343109981612,76.96685028076172,CLEAN,10395
2,1,1,323.1953287124634,309.9862060546875,161.5976643562317,14613.253783944636,13.209122657775879,309.9862060546875,0.04087040091327439,13.209122657775879,309.9862060546875,0,1,1,1,-14613.253783944636,2,0.0,0.0,597.2495407972413,309.9862060546875,CLEAN,12608
